model,mae,rmse,r2
Deep Learning Model,0.9935346035848289,1.308178429833789,-0.32032302056636186
GloVe Transfer Learning Model,1.3893929749169616,1.8442237108323791,-1.6240580020726032
Fine-Tuned Transfer Learning Model,1.192994439131009,1.483788118661427,-0.6985956441686003
